epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.40173,2.76731,7.29248,1.44466,0,0,0,0,2.80977,7.27654,1.7982,0.00084,0.00084,0.00084
2,5.78809,2.96663,7.79319,1.53417,0.00023,0.02174,0.00013,4e-05,2.63339,7.16211,1.74035,0.00166634,0.00166634,0.00166634
3,8.12235,2.81111,7.75439,1.52395,0.00023,0.02174,0.00012,4e-05,2.6424,7.14926,1.59242,0.0019208,0.0019208,0.0019208
4,10.4558,3.13973,7.01751,1.63817,0.00023,0.02174,0.00012,4e-05,2.6424,7.14926,1.59242,0.0018812,0.0018812,0.0018812
5,12.809,3.2866,7.48547,1.97968,0.00023,0.02174,0.00013,4e-05,2.528,7.45738,1.45792,0.0018416,0.0018416,0.0018416
6,15.161,3.13292,7.11266,1.73436,0.00023,0.02174,0.00012,4e-05,2.5578,7.11749,1.52233,0.001802,0.001802,0.001802
7,17.4831,2.4734,8.00429,1.33941,0.00023,0.02174,0.00012,4e-05,2.5578,7.11749,1.52233,0.0017624,0.0017624,0.0017624
8,19.7862,2.80035,7.28291,1.50244,0.00023,0.02174,0.00013,5e-05,2.41706,7.2894,1.43955,0.0017228,0.0017228,0.0017228
9,22.1286,2.60186,7.96468,1.39552,0.00023,0.02174,0.00013,5e-05,3.08782,8.08862,1.85557,0.0016832,0.0016832,0.0016832
10,24.5115,3.07714,7.04207,1.4732,0.00023,0.02174,0.00013,5e-05,3.08782,8.08862,1.85557,0.0016436,0.0016436,0.0016436
11,26.9406,3.1584,6.55004,1.54028,0.00109,0.10145,0.00064,0.00016,2.9762,8.19741,1.74936,0.001604,0.001604,0.001604
12,29.3591,2.75895,5.91019,1.30931,0.11761,0.02174,0.01333,0.00603,3.3851,6.96684,1.81271,0.0015644,0.0015644,0.0015644
13,31.7868,2.75416,5.68461,1.24297,0.11761,0.02174,0.01333,0.00603,3.3851,6.96684,1.81271,0.0015248,0.0015248,0.0015248
14,34.1952,2.56994,5.60937,1.13409,0.2725,0.17391,0.1145,0.02748,2.46882,5.92737,1.39977,0.0014852,0.0014852,0.0014852
15,36.5866,2.57953,5.55076,1.16115,0.35671,0.22464,0.16727,0.05227,2.54784,5.78646,1.48088,0.0014456,0.0014456,0.0014456
16,38.9991,2.65477,5.26848,1.23354,0.35671,0.22464,0.16727,0.05227,2.54784,5.78646,1.48088,0.001406,0.001406,0.001406
