epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.05769,2.76731,7.29248,1.44466,0,0,0,0,2.80977,7.27654,1.7982,0.00084,0.00084,0.00084
2,5.43865,2.96663,7.79319,1.53417,0.00023,0.02174,0.00013,4e-05,2.63339,7.16211,1.74035,0.00169663,0.00169663,0.00169663
3,7.82336,2.81111,7.75439,1.52395,0.00023,0.02174,0.00012,4e-05,2.6424,7.14926,1.59242,0.00199208,0.00199208,0.00199208
4,10.1775,3.13973,7.01751,1.63817,0.00023,0.02174,0.00012,4e-05,2.6424,7.14926,1.59242,0.00198812,0.00198812,0.00198812
5,12.5552,3.2866,7.48547,1.97968,0.00023,0.02174,0.00013,4e-05,2.528,7.45738,1.45792,0.00198416,0.00198416,0.00198416
6,14.9325,3.13292,7.11266,1.73436,0.00023,0.02174,0.00012,4e-05,2.5578,7.11749,1.52233,0.0019802,0.0019802,0.0019802
7,17.2401,2.4734,8.00429,1.33941,0.00023,0.02174,0.00012,4e-05,2.5578,7.11749,1.52233,0.00197624,0.00197624,0.00197624
8,19.5579,2.80035,7.28291,1.50244,0.00023,0.02174,0.00013,5e-05,2.41706,7.2894,1.43955,0.00197228,0.00197228,0.00197228
9,21.9189,2.62117,7.96349,1.40747,0.00023,0.02174,0.00013,5e-05,3.18015,9.63272,2.00909,0.00196832,0.00196832,0.00196832
10,24.3109,3.04911,6.96874,1.49447,0.00023,0.02174,0.00013,5e-05,3.18015,9.63272,2.00909,0.00196436,0.00196436,0.00196436
11,26.7267,3.14828,7.01944,1.61868,0.00116,0.1087,0.00066,0.00017,3.03497,7.3813,1.6862,0.0019604,0.0019604,0.0019604
12,29.1456,2.93697,6.13121,1.44994,0.0014,0.13043,0.00092,0.00024,2.82236,7.20477,1.58555,0.00195644,0.00195644,0.00195644
13,31.5358,2.74065,5.67406,1.32366,0.0014,0.13043,0.00092,0.00024,2.82236,7.20477,1.58555,0.00195248,0.00195248,0.00195248
14,33.9394,2.49038,5.60546,1.18472,0.4966,0.19565,0.14177,0.04196,2.78795,5.74095,1.64419,0.00194852,0.00194852,0.00194852
15,36.3404,2.56906,5.55146,1.20723,0.3262,0.18116,0.14623,0.0449,2.5663,5.40892,1.44941,0.00194456,0.00194456,0.00194456
16,38.7474,2.86945,5.32839,1.34957,0.3262,0.18116,0.14623,0.0449,2.5663,5.40892,1.44941,0.0019406,0.0019406,0.0019406
17,41.1407,2.23914,5.36697,1.10526,0.36754,0.21014,0.21255,0.08941,2.37744,4.89397,1.40063,0.00193664,0.00193664,0.00193664
18,43.5682,2.54571,5.01313,1.19156,0.46078,0.17391,0.16219,0.04638,2.29826,4.73451,1.3699,0.00193268,0.00193268,0.00193268
19,45.9481,2.30203,4.73393,1.11642,0.46078,0.17391,0.16219,0.04638,2.29826,4.73451,1.3699,0.00192872,0.00192872,0.00192872
20,48.3836,2.74635,4.88391,1.30842,0.38211,0.19565,0.15762,0.04826,2.22108,4.85467,1.32161,0.00192476,0.00192476,0.00192476
21,50.7983,2.4197,4.79852,1.19071,0.50785,0.36232,0.31021,0.09397,2.10249,4.79962,1.26156,0.0019208,0.0019208,0.0019208
22,53.1645,2.33865,4.91193,1.13396,0.50785,0.36232,0.31021,0.09397,2.10249,4.79962,1.26156,0.00191684,0.00191684,0.00191684
23,55.5699,2.27333,4.26482,1.09553,0.42628,0.41304,0.35118,0.1097,2.12155,4.15637,1.29751,0.00191288,0.00191288,0.00191288
24,57.9905,2.36968,4.06674,1.03623,0.27358,0.34058,0.18128,0.04508,2.28128,4.37027,1.3023,0.00190892,0.00190892,0.00190892
25,60.3691,2.30673,4.3397,1.08549,0.27358,0.34058,0.18128,0.04508,2.28128,4.37027,1.3023,0.00190496,0.00190496,0.00190496
26,62.7608,2.40367,4.31159,1.16456,0.44862,0.54243,0.38023,0.11938,1.98243,3.71657,1.18867,0.001901,0.001901,0.001901
27,65.1682,2.06588,4.11208,1.00741,0.62282,0.5,0.50708,0.17602,2.06283,3.36112,1.20666,0.00189704,0.00189704,0.00189704
28,67.5706,1.96437,4.26852,1.06296,0.62282,0.5,0.50708,0.17602,2.06283,3.36112,1.20666,0.00189308,0.00189308,0.00189308
29,69.9684,2.02592,4.0446,1.01052,0.71466,0.3913,0.48943,0.14689,2.04187,3.38914,1.19277,0.00188912,0.00188912,0.00188912
30,72.3912,2.35329,4.09766,1.23073,0.43493,0.47826,0.39913,0.10749,2.13727,3.3513,1.25131,0.00188516,0.00188516,0.00188516
31,74.7714,2.00888,3.68104,0.98275,0.43493,0.47826,0.39913,0.10749,2.13727,3.3513,1.25131,0.0018812,0.0018812,0.0018812
32,77.194,2.37018,3.9777,1.15311,0.56913,0.44203,0.4204,0.11217,2.28399,3.28294,1.28638,0.00187724,0.00187724,0.00187724
33,79.6215,2.00606,3.6779,1.01116,0.42097,0.49275,0.4158,0.13249,2.13101,2.89091,1.18583,0.00187328,0.00187328,0.00187328
34,82.0082,1.99646,3.62972,1.0264,0.42097,0.49275,0.4158,0.13249,2.13101,2.89091,1.18583,0.00186932,0.00186932,0.00186932
35,84.4067,2.27965,3.64126,1.06427,0.49721,0.58696,0.56847,0.16411,2.03374,2.57966,1.15698,0.00186536,0.00186536,0.00186536
36,86.8407,2.20467,3.2659,1.0986,0.64265,0.53432,0.59476,0.19549,1.91081,2.50983,1.13863,0.0018614,0.0018614,0.0018614
37,89.2565,2.34385,3.24782,1.19259,0.64265,0.53432,0.59476,0.19549,1.91081,2.50983,1.13863,0.00185744,0.00185744,0.00185744
38,91.6094,1.49035,3.24022,0.79466,0.62958,0.56522,0.58108,0.20477,1.93483,2.47137,1.15182,0.00185348,0.00185348,0.00185348
39,94.042,2.41135,3.16244,1.19781,0.56929,0.5,0.51115,0.18288,1.90917,2.20498,1.13272,0.00184952,0.00184952,0.00184952
40,96.39,1.82319,3.41958,0.90385,0.56929,0.5,0.51115,0.18288,1.90917,2.20498,1.13272,0.00184556,0.00184556,0.00184556
41,98.7655,2.06635,3.04811,1.02128,0.46852,0.47272,0.39635,0.14196,1.87915,2.13997,1.09103,0.0018416,0.0018416,0.0018416
42,101.188,1.98373,3.53455,1.07216,0.51278,0.58696,0.47869,0.15101,1.82747,1.98307,1.07421,0.00183764,0.00183764,0.00183764
43,103.579,2.00811,3.12916,0.99765,0.51278,0.58696,0.47869,0.15101,1.82747,1.98307,1.07421,0.00183368,0.00183368,0.00183368
44,105.969,2.02381,2.89553,0.97647,0.64605,0.54348,0.49184,0.20268,1.80371,2.14079,1.08038,0.00182972,0.00182972,0.00182972
45,108.408,2.1496,2.46872,1.22531,0.75566,0.6087,0.66613,0.25351,1.71949,2.1831,1.07026,0.00182576,0.00182576,0.00182576
46,110.81,2.07655,2.85097,0.94723,0.75566,0.6087,0.66613,0.25351,1.71949,2.1831,1.07026,0.0018218,0.0018218,0.0018218
47,113.245,1.99521,2.65764,1.01743,0.77268,0.57971,0.68492,0.25916,1.65455,1.90909,1.03151,0.00181784,0.00181784,0.00181784
48,115.669,1.8378,2.93234,0.97471,0.69237,0.68841,0.70359,0.23632,1.7179,1.65866,1.03866,0.00181388,0.00181388,0.00181388
49,118.02,1.78771,3.37204,0.8567,0.69237,0.68841,0.70359,0.23632,1.7179,1.65866,1.03866,0.00180992,0.00180992,0.00180992
50,120.438,1.97251,2.6909,1.10361,0.69283,0.63768,0.64149,0.21808,1.65308,1.70832,1.0372,0.00180596,0.00180596,0.00180596
51,122.839,1.66609,2.63031,0.82108,0.72428,0.57108,0.6938,0.21308,1.66851,1.91931,1.06535,0.001802,0.001802,0.001802
52,125.232,1.81374,2.69292,0.89568,0.78359,0.62971,0.7137,0.21504,1.71439,1.90147,1.09617,0.00179804,0.00179804,0.00179804
53,127.62,1.8064,2.51645,0.92523,0.78359,0.62971,0.7137,0.21504,1.71439,1.90147,1.09617,0.00179408,0.00179408,0.00179408
54,130.002,1.72915,2.69347,0.90656,0.81665,0.54871,0.65961,0.23669,1.66205,1.68909,1.05774,0.00179012,0.00179012,0.00179012
55,132.397,1.85987,2.56764,0.92069,0.76838,0.63043,0.71044,0.24573,1.60865,1.73437,1.00031,0.00178616,0.00178616,0.00178616
56,134.787,1.89895,2.28211,1.00849,0.76838,0.63043,0.71044,0.24573,1.60865,1.73437,1.00031,0.0017822,0.0017822,0.0017822
57,137.188,1.72079,2.69412,1.08398,0.78048,0.63043,0.67105,0.22002,1.75172,1.9677,1.05539,0.00177824,0.00177824,0.00177824
58,139.587,1.77927,2.3472,0.98757,0.715,0.54539,0.63037,0.21715,1.69306,1.74594,1.04387,0.00177428,0.00177428,0.00177428
59,141.99,2.17834,2.68236,1.06376,0.715,0.54539,0.63037,0.21715,1.69306,1.74594,1.04387,0.00177032,0.00177032,0.00177032
60,144.364,1.59136,2.17756,0.86865,0.70201,0.64873,0.66059,0.21846,1.4873,1.75441,1.00677,0.00176636,0.00176636,0.00176636
61,146.736,1.83769,2.30425,0.98833,0.63791,0.53623,0.58174,0.20348,1.55607,1.95078,1.03692,0.0017624,0.0017624,0.0017624
62,149.165,2.11576,2.2406,1.08052,0.63791,0.53623,0.58174,0.20348,1.55607,1.95078,1.03692,0.00175844,0.00175844,0.00175844
63,151.562,1.82603,2.27762,1.03154,0.61041,0.6087,0.61396,0.21125,1.5252,1.9727,1.00341,0.00175448,0.00175448,0.00175448
64,153.955,1.79426,2.34165,1.02747,0.68899,0.69565,0.65822,0.23803,1.53339,1.77853,1.01108,0.00175052,0.00175052,0.00175052
65,156.31,1.75036,2.1036,0.95799,0.68899,0.69565,0.65822,0.23803,1.53339,1.77853,1.01108,0.00174656,0.00174656,0.00174656
66,158.711,1.69943,2.01747,1.05142,0.69085,0.69565,0.67188,0.25697,1.46956,1.89867,0.98744,0.0017426,0.0017426,0.0017426
67,161.112,1.69884,2.08368,0.95544,0.77052,0.63043,0.69453,0.27586,1.45889,1.38208,0.97907,0.00173864,0.00173864,0.00173864
68,163.487,1.55188,2.07017,0.78659,0.77052,0.63043,0.69453,0.27586,1.45889,1.38208,0.97907,0.00173468,0.00173468,0.00173468
69,165.873,1.62755,1.99462,0.80886,0.82287,0.70695,0.80066,0.30459,1.42363,1.23165,0.98462,0.00173072,0.00173072,0.00173072
70,168.304,1.70685,1.94901,1.06082,0.71659,0.67794,0.69938,0.26968,1.443,1.25354,0.97581,0.00172676,0.00172676,0.00172676
71,170.667,1.676,1.95789,1.00252,0.71659,0.67794,0.69938,0.26968,1.443,1.25354,0.97581,0.0017228,0.0017228,0.0017228
72,173.084,1.60951,1.75111,0.94254,0.79157,0.67391,0.71423,0.27516,1.45822,1.27408,0.97774,0.00171884,0.00171884,0.00171884
73,175.504,1.8963,2.07667,1.06078,0.82213,0.73913,0.80446,0.30851,1.46057,1.50997,0.98052,0.00171488,0.00171488,0.00171488
74,177.911,1.55632,1.86253,0.97589,0.82213,0.73913,0.80446,0.30851,1.46057,1.50997,0.98052,0.00171092,0.00171092,0.00171092
75,180.3,1.48105,1.85573,0.80939,0.78507,0.71739,0.82169,0.34188,1.44214,1.55597,0.96867,0.00170696,0.00170696,0.00170696
76,182.727,1.85213,1.82864,1.02009,0.78103,0.63043,0.71141,0.30994,1.36345,1.52547,0.96148,0.001703,0.001703,0.001703
77,185.101,1.4052,1.81437,0.89984,0.78103,0.63043,0.71141,0.30994,1.36345,1.52547,0.96148,0.00169904,0.00169904,0.00169904
78,187.476,1.46701,1.86022,0.90185,0.80328,0.63043,0.71532,0.30237,1.32976,1.54179,0.95028,0.00169508,0.00169508,0.00169508
79,189.855,1.59378,1.85421,0.86935,0.77346,0.69565,0.75531,0.29816,1.38213,1.39139,0.954,0.00169112,0.00169112,0.00169112
80,192.221,1.72575,2.0835,0.93465,0.77346,0.69565,0.75531,0.29816,1.38213,1.39139,0.954,0.00168716,0.00168716,0.00168716
81,194.599,1.48149,1.757,0.90417,0.83857,0.67758,0.7748,0.27914,1.48829,1.2811,0.97279,0.0016832,0.0016832,0.0016832
82,196.981,1.61674,1.75988,0.85752,0.74568,0.84783,0.8663,0.29766,1.42132,1.18543,0.94438,0.00167924,0.00167924,0.00167924
83,199.335,1.57712,1.81352,0.84872,0.74568,0.84783,0.8663,0.29766,1.42132,1.18543,0.94438,0.00167528,0.00167528,0.00167528
84,201.733,1.79975,1.66041,0.99871,0.75576,0.80724,0.88268,0.33031,1.39041,1.21757,0.93938,0.00167132,0.00167132,0.00167132
85,204.106,1.59429,1.84435,0.87163,0.84991,0.80435,0.91762,0.36478,1.3227,1.24102,0.93192,0.00166736,0.00166736,0.00166736
86,206.519,1.71385,1.63159,0.90154,0.84991,0.80435,0.91762,0.36478,1.3227,1.24102,0.93192,0.0016634,0.0016634,0.0016634
87,208.914,1.55127,1.66111,0.85719,0.89773,0.76331,0.90589,0.34109,1.30043,1.21813,0.95039,0.00165944,0.00165944,0.00165944
88,211.325,1.72593,1.5443,1.0305,0.92043,0.75444,0.90779,0.38018,1.23644,1.24775,0.94968,0.00165548,0.00165548,0.00165548
